class,nodes,threads,delay,method,solved,avg trials,avg time,speedup
gklsh4d,12,16,0.1,MIDACO OpenMP,70,69319,1.24115105026,6.587729608984486
gklsh4d,12,16,0.5,MIDACO OpenMP,70,69319,5.1756789122399995,11.297214503556642
gklsh4d,12,16,1,MIDACO OpenMP,70,69319,10.037264591409999,11.454919756807822
gklsh4d,12,1,0.1,MIDACO OpenMP,76,71245,12.5682861892,0.6505554854444668
gklsh4d,12,1,0.5,MIDACO OpenMP,76,71245,58.425145054240026,1.000780653926107
gklsh4d,12,1,1,MIDACO OpenMP,76,71245,121.41843253395001,0.9469407409809985
gklsh4d,1,16,0.1,MIDACO OpenMP,70,69319,0.6577498043600001,12.430817111341776
gklsh4d,1,16,0.5,MIDACO OpenMP,70,69319,4.522055212470001,12.93012847606798
gklsh4d,1,16,1,MIDACO OpenMP,70,69319,8.735265954489998,13.162285049071842
gklsh4d,1,1,0.1,MIDACO OpenMP,76,71245,8.176367523019994,1.0
gklsh4d,1,1,0.5,MIDACO OpenMP,76,71245,58.47075487310999,1.0
gklsh4d,1,1,1,MIDACO OpenMP,76,71245,114.97606047244999,1.0
gklsh4d,2,16,0.1,MIDACO OpenMP,70,69319,0.81563707927,10.024516700905618
gklsh4d,2,16,0.5,MIDACO OpenMP,70,69319,4.533675423010001,12.89698741474749
gklsh4d,2,16,1,MIDACO OpenMP,70,69319,8.789550520559995,13.080994324283683
gklsh4d,2,1,0.1,MIDACO OpenMP,76,71245,8.163024220180004,1.001634602872671
gklsh4d,2,1,0.5,MIDACO OpenMP,76,71245,58.50533121561998,0.999409005268553
gklsh4d,2,1,1,MIDACO OpenMP,76,71245,115.70493632684001,0.9937005638866512
gklsh4d,4,16,0.1,MIDACO OpenMP,70,69319,0.72182209771,11.327399852345529
gklsh4d,4,16,0.5,MIDACO OpenMP,70,69319,4.652184853529998,12.568450462312
gklsh4d,4,16,1,MIDACO OpenMP,70,69319,8.7596224024,13.125686837933602
gklsh4d,4,1,0.1,MIDACO OpenMP,76,71245,8.203066299730004,0.9967452686916735
gklsh4d,4,1,0.5,MIDACO OpenMP,76,71245,58.42196607755998,1.0008351104700113
gklsh4d,4,1,1,MIDACO OpenMP,76,71245,115.51492357555998,0.995335121329518
gklsh4d,8,16,0.1,MIDACO OpenMP,70,69319,0.7402899767999999,11.044817273311482
gklsh4d,8,16,0.5,MIDACO OpenMP,70,69319,4.50813530512,12.970053229481227
gklsh4d,8,16,1,MIDACO OpenMP,70,69319,8.81142965772,13.0485136849178
gklsh4d,8,1,0.1,MIDACO OpenMP,76,71245,8.200055949069998,0.9971111872654124
gklsh4d,8,1,0.5,MIDACO OpenMP,76,71245,58.389218820999986,1.001396423068443
gklsh4d,8,1,1,MIDACO OpenMP,76,71245,115.72497682471,0.9935284812941082

gklsh4d_serg,12,16,0.1,MIDACO OpenMP,80,74368,1.0914557777599996,4.442334990915374
gklsh4d_serg,12,16,0.5,MIDACO OpenMP,80,74368,4.739111755699999,9.767422565231913
gklsh4d_serg,12,16,1,MIDACO OpenMP,80,74368,9.168496519689999,9.927310397295926
gklsh4d_serg,12,1,0.1,MIDACO OpenMP,80,50771,9.322536921899998,0.5200957886463184
gklsh4d_serg,12,1,0.5,MIDACO OpenMP,80,50771,46.333880248199996,0.9990293680093468
gklsh4d_serg,12,1,1,MIDACO OpenMP,80,50771,91.81305716899001,0.991346041990111
gklsh4d_serg,1,16,0.1,MIDACO OpenMP,80,74368,0.5636979285100002,8.601436952937082
gklsh4d_serg,1,16,0.5,MIDACO OpenMP,80,74368,3.9817752049000013,11.625193467681585
gklsh4d_serg,1,16,1,MIDACO OpenMP,80,74368,7.804622971459997,11.662127838888207
gklsh4d_serg,1,1,0.1,MIDACO OpenMP,80,50771,4.848612192580001,1.0
gklsh4d_serg,1,1,0.5,MIDACO OpenMP,80,50771,46.28890710178,1.0
gklsh4d_serg,1,1,1,MIDACO OpenMP,80,50771,91.01851082749003,1.0
gklsh4d_serg,2,16,0.1,MIDACO OpenMP,80,74368,0.51874758947,9.346765731545446
gklsh4d_serg,2,16,0.5,MIDACO OpenMP,80,74368,3.98011833253,11.630032887076505
gklsh4d_serg,2,16,1,MIDACO OpenMP,80,74368,7.74453279791,11.752614806157577
gklsh4d_serg,2,1,0.1,MIDACO OpenMP,80,50771,6.478783954070001,0.7483830649321284
gklsh4d_serg,2,1,0.5,MIDACO OpenMP,80,50771,46.24717246618999,1.0009024256698185
gklsh4d_serg,2,1,1,MIDACO OpenMP,80,50771,91.61170430737997,0.9935249160096441
gklsh4d_serg,4,16,0.1,MIDACO OpenMP,80,74368,0.7146994441300002,6.784127555160184
gklsh4d_serg,4,16,0.5,MIDACO OpenMP,80,74368,4.002650912749998,11.564562613824714
gklsh4d_serg,4,16,1,MIDACO OpenMP,80,74368,7.8030003648300035,11.664552937576719
gklsh4d_serg,4,1,0.1,MIDACO OpenMP,80,50771,6.5390373844,0.7414871497977975
gklsh4d_serg,4,1,0.5,MIDACO OpenMP,80,50771,46.98483644239001,0.9851882140429855
gklsh4d_serg,4,1,1,MIDACO OpenMP,80,50771,91.18561044444,0.9981674782223257
gklsh4d_serg,8,16,0.1,MIDACO OpenMP,80,74368,0.64262612407,7.544997022330595
gklsh4d_serg,8,16,0.5,MIDACO OpenMP,80,74368,3.986787634029999,11.610577575457508
gklsh4d_serg,8,16,1,MIDACO OpenMP,80,74368,7.80769846968,11.657534058333127
gklsh4d_serg,8,1,0.1,MIDACO OpenMP,80,50771,6.479636753839999,0.7482845685302636
gklsh4d_serg,8,1,0.5,MIDACO OpenMP,80,50771,46.393585025789996,0.9977436983162261
gklsh4d_serg,8,1,1,MIDACO OpenMP,80,50771,91.58927678463002,0.9937682010691915

gklss4d,12,16,0.1,MIDACO OpenMP,97,26232,0.17919561392,10.70297690029533
gklss4d,12,16,0.5,MIDACO OpenMP,97,26232,1.0935038104900001,14.023653404845849
gklss4d,12,16,1,MIDACO OpenMP,97,26232,2.2360986896,13.749836075468542
gklss4d,12,1,0.1,MIDACO OpenMP,98,28082,2.20004078419,0.8717686191104556
gklss4d,12,1,0.5,MIDACO OpenMP,98,28082,15.683680638690005,0.9777627323882351
gklss4d,12,1,1,MIDACO OpenMP,98,28082,31.342692196770003,0.9809620130123511
gklss4d,1,16,0.1,MIDACO OpenMP,97,26232,0.17459130016000007,10.985235316206259
gklss4d,1,16,0.5,MIDACO OpenMP,97,26232,1.09167723571,14.04711753031705
gklss4d,1,16,1,MIDACO OpenMP,97,26232,2.1438422859300004,14.34153558419638
gklss4d,1,1,0.1,MIDACO OpenMP,98,28082,1.9179265164200001,1.0
gklss4d,1,1,0.5,MIDACO OpenMP,98,28082,15.33491843519,1.0
gklss4d,1,1,1,MIDACO OpenMP,98,28082,30.74599043057001,1.0
gklss4d,2,16,0.1,MIDACO OpenMP,97,26232,0.16112453008000002,11.90338004689745
gklss4d,2,16,0.5,MIDACO OpenMP,97,26232,1.09434974017,14.01281315496801
gklss4d,2,16,1,MIDACO OpenMP,97,26232,2.122102406049999,14.488457457526488
gklss4d,2,1,0.1,MIDACO OpenMP,98,28082,2.185747154309999,0.8774695246145499
gklss4d,2,1,0.5,MIDACO OpenMP,98,28082,15.63813553401,0.9806104060064859
gklss4d,2,1,1,MIDACO OpenMP,98,28082,30.93409097419,0.9939193123930187
gklss4d,4,16,0.1,MIDACO OpenMP,97,26232,0.1773175019,10.816340721411889
gklss4d,4,16,0.5,MIDACO OpenMP,97,26232,1.0954833696600004,13.998312397886442
gklss4d,4,16,1,MIDACO OpenMP,97,26232,2.1220738595599995,14.488652358662495
gklss4d,4,1,0.1,MIDACO OpenMP,98,28082,2.1935366309299993,0.8743535391095119
gklss4d,4,1,0.5,MIDACO OpenMP,98,28082,16.571042529029995,0.925404566932075
gklss4d,4,1,1,MIDACO OpenMP,98,28082,30.90004756187,0.9950143399944118
gklss4d,8,16,0.1,MIDACO OpenMP,97,26232,0.17565595018999997,10.918653847737332
gklss4d,8,16,0.5,MIDACO OpenMP,97,26232,1.09293214044,14.030988629373057
gklss4d,8,16,1,MIDACO OpenMP,97,26232,2.13576237841,14.395791751636397
gklss4d,8,1,0.1,MIDACO OpenMP,98,28082,2.2002037843799997,0.8717040348880487
gklss4d,8,1,0.5,MIDACO OpenMP,98,28082,16.573480730919997,0.9252684263590268
